.152,0
.152.149,0
.152.149.134,0
.152.149.134.42,0
.152.149.134.111,0
.152.149.134.111.15,0
.152.149.134.111.16,0
.152.149.145,0
.152.149.145.132,0
.152.149.145.132.18,0
.152.149.145.132.126,0
.152.149.145.132.126.39,0
.152.149.145.132.126.40,0
.152.149.145.133,0
.152.149.145.133.46,0
.152.149.145.133.120,0
.152.149.145.133.120.2,0
.152.149.145.133.120.108,0
.152.149.145.133.120.108.47,0
.152.149.145.133.120.108.48,0
.152.151,0
.152.151.144,0
.152.151.144.125,0
.152.151.144.125.9,0
.152.151.144.125.107,0
.152.151.144.125.107.72,0
.152.151.144.125.107.106,0
.152.151.144.125.107.106.10,0
.152.151.144.125.107.106.54,0
.152.151.144.137,0
.152.151.144.137.44,0
.152.151.144.137.57,0
.152.151.150,0
.152.151.150.146,0
.152.151.150.146.139,0
.152.151.150.146.139.118,0
.152.151.150.146.139.118.86,0
.152.151.150.146.139.118.86.36,0
.152.151.150.146.139.118.86.37,0
.152.151.150.146.139.118.98,0
.152.151.150.146.139.118.98.43,0
.152.151.150.146.139.118.98.81,0
.152.151.150.146.139.118.98.81.74,0
.152.151.150.146.139.118.98.81.78,0
.152.151.150.146.139.118.98.81.78.17,0
.152.151.150.146.139.118.98.81.78.64,0
.152.151.150.146.139.127,0
.152.151.150.146.139.127.41,0
.152.151.150.146.139.127.53,0
.152.151.150.146.143,0
.152.151.150.146.143.20,0
.152.151.150.146.143.123,0
.152.151.150.146.143.123.61,0
.152.151.150.146.143.123.112,0
.152.151.150.146.143.123.112.85,0
.152.151.150.146.143.123.112.85.75,0
.152.151.150.146.143.123.112.85.84,0
.152.151.150.146.143.123.112.85.84.12,0
.152.151.150.146.143.123.112.85.84.21,0
.152.151.150.146.143.123.112.99,0
.152.151.150.146.143.123.112.99.7,0
.152.151.150.146.143.123.112.99.82,0
.152.151.150.146.143.123.112.99.82.22,0
.152.151.150.146.143.123.112.99.82.71,0
.152.151.150.148,0
.152.151.150.148.131,0
.152.151.150.148.131.97,0
.152.151.150.148.131.97.59,0
.152.151.150.148.131.97.60,0
.152.151.150.148.131.114,0
.152.151.150.148.131.114.29,0
.152.151.150.148.131.114.103,0
.152.151.150.148.131.114.103.26,0
.152.151.150.148.131.114.103.94,0
.152.151.150.148.131.114.103.94.25,0
.152.151.150.148.131.114.103.94.27,0
.152.151.150.148.147,0
.152.151.150.148.147.129,0
.152.151.150.148.147.129.11,0
.152.151.150.148.147.129.104,0
.152.151.150.148.147.129.104.56,0
.152.151.150.148.147.129.104.96,0
.152.151.150.148.147.129.104.96.23,0
.152.151.150.148.147.129.104.96.55,0
.152.151.150.148.147.142,0
.152.151.150.148.147.142.128,0
.152.151.150.148.147.142.128.33,0
.152.151.150.148.147.142.128.117,0
.152.151.150.148.147.142.128.117.95,0
.152.151.150.148.147.142.128.117.95.34,0
.152.151.150.148.147.142.128.117.95.52,0
.152.151.150.148.147.142.128.117.109,0
.152.151.150.148.147.142.128.117.109.32,0
.152.151.150.148.147.142.128.117.109.105,0
.152.151.150.148.147.142.128.117.109.105.28,0
.152.151.150.148.147.142.128.117.109.105.88,0
.152.151.150.148.147.142.128.117.109.105.88.45,0
.152.151.150.148.147.142.128.117.109.105.88.77,0
.152.151.150.148.147.142.128.117.109.105.88.77.30,0
.152.151.150.148.147.142.128.117.109.105.88.77.31,0
.152.151.150.148.147.142.141,0
.152.151.150.148.147.142.141.138,0
.152.151.150.148.147.142.141.138.130,0
.152.151.150.148.147.142.141.138.130.13,0
.152.151.150.148.147.142.141.138.130.113,0
.152.151.150.148.147.142.141.138.130.113.58,0
.152.151.150.148.147.142.141.138.130.113.110,0
.152.151.150.148.147.142.141.138.130.113.110.4,0
.152.151.150.148.147.142.141.138.130.113.110.76,0
.152.151.150.148.147.142.141.138.135,0
.152.151.150.148.147.142.141.138.135.121,0
.152.151.150.148.147.142.141.138.135.121.90,0
.152.151.150.148.147.142.141.138.135.121.90.6,0
.152.151.150.148.147.142.141.138.135.121.90.19,0
.152.151.150.148.147.142.141.138.135.121.102,0
.152.151.150.148.147.142.141.138.135.121.102.68,0
.152.151.150.148.147.142.141.138.135.121.102.91,0
